1. (1) CITIZEN KANE (Orson Welles, 1941)
2. (2) VERTIGO (Alfred Hitchcock, 1958)
3. (3) 2001: A SPACE ODYSSEY (Stanley Kubrick, 1968)
4. (5) TOKYO STORY (Yasujiro Ozu, 1953)
5. (4) THE RULES OF THE GAME (Jean Renoir, 1939)
6. (7) THE GODFATHER (Francis Ford Coppola, 1972)
7. (6) 8½ (Federico Fellini, 1963)
8. (8) SUNRISE (F.W. Murnau, 1927)
9. (9) THE SEARCHERS (John Ford, 1956)
10. (10) SEVEN SAMURAI (Akira Kurosawa, 1954)
11. (12) SINGIN' IN THE RAIN (Stanley Donen & Gene Kelly, 1952)
12. (85) JEANNE DIELMAN, 23 QUAI DU COMMERCE, 1080 BRUXELLES (Chantal Akerman, 1975)
13. (11) APOCALYPSE NOW (Francis Ford Coppola, 1979)
14. (13) BICYCLE THIEVES (Vittorio De Sica, 1948)
15. (14) TAXI DRIVER (Martin Scorsese, 1976)
16. (19) PERSONA (Ingmar Bergman, 1966)
17. (18) THE PASSION OF JOAN OF ARC (Carl Theodor Dreyer, 1928)
18. (16) BREATHLESS (Jean-Luc Godard, 1960)
19. (42) IN THE MOOD FOR LOVE (Wong Kar-wai, 2000)
20. (15) BATTLESHIP POTEMKIN (Sergei Eisenstein, 1925)
21. (17) L'ATALANTE (Jean Vigo, 1934)
22. (20) THE MAN WITH A MOVIE CAMERA (Dziga Vertov, 1929)
23. (28) MIRROR (Andrei Tarkovsky, 1975)
24. (21) RASHOMON (Akira Kurosawa, 1950)
25. (25) CITY LIGHTS (Charles Chaplin, 1931)
26. (22) PSYCHO (Alfred Hitchcock, 1960)
27. (24) THE 400 BLOWS (François Truffaut, 1959)
28. (23) ANDREI RUBLEV (Andrei Tarkovsky, 1966)
29. (36) AU HASARD BALTHAZAR (Robert Bresson, 1966)
30. (29) SOME LIKE IT HOT (Billy Wilder, 1959)
31. (27) THE GODFATHER PART II (Francis Ford Coppola, 1974)
32. (30) LA DOLCE VITA (Federico Fellini, 1960)
33. (48) MULHOLLAND DR. (David Lynch, 2001)
34. (34) ORDET (Carl Theodor Dreyer, 1955)
35. (26) RAGING BULL (Martin Scorsese, 1980)
36. (43) THE NIGHT OF THE HUNTER (Charles Laughton, 1955)
37. (38) L'AVVENTURA (Michelangelo Antonioni, 1960)
38. (41) REAR WINDOW (Alfred Hitchcock, 1954)
39. (50) PLAYTIME (Jacques Tati, 1967)
40. (32) SUNSET BLVD. (Billy Wilder, 1950)
41. (31) TOUCH OF EVIL (Orson Welles, 1958)
42. (35) CASABLANCA (Michael Curtiz, 1942)
43. (56) PATHER PANCHALI (Satyajit Ray, 1955)
44. (40) CONTEMPT (Jean-Luc Godard, 1963)
45. (52) BARRY LYNDON (Stanley Kubrick, 1975)
46. (53) STALKER (Andrei Tarkovsky, 1979)
47. (37) BLADE RUNNER (Ridley Scott, 1982)
48. (83) CLOSE-UP (Abbas Kiarostami, 1990)
49. (33) LAWRENCE OF ARABIA (David Lean, 1962)
50. (39) THE GENERAL (Buster Keaton & Clyde Bruckman, 1926)
51. (114) BEAU TRAVAIL (Claire Denis, 1999)
52. (45) MODERN TIMES (Charles Chaplin, 1936)
53. (57) M (Fritz Lang, 1931)
54. (46) THE THIRD MAN (Carol Reed, 1949)
55. (81) LATE SPRING (Yasujiro Ozu, 1949)
56. (58) NORTH BY NORTHWEST (Alfred Hitchcock, 1959)
57. (47) UGETSU MONOGATARI (Kenji Mizoguchi, 1953)
58. (76) THE BATTLE OF ALGIERS (Gillo Pontecorvo, 1966)
59. (59) THE APARTMENT (Billy Wilder, 1960)
60. (44) LA GRANDE ILLUSION (Jean Renoir, 1937)
61. (60) WILD STRAWBERRIES (Ingmar Bergman, 1957)
62. (51) FANNY AND ALEXANDER (Ingmar Bergman, 1982)
63. (54) RIO BRAVO (Howard Hawks, 1959)
64. (71) GOODFELLAS (Martin Scorsese, 1990)
65. (72) SHOAH (Claude Lanzmann, 1985)
66. (67) PIERROT LE FOU (Jean-Luc Godard, 1965)
67. (74) JOURNEY TO ITALY (Roberto Rossellini, 1954)
68. (63) METROPOLIS (Fritz Lang, 1927)
69. (49) DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB (Stanley Kubrick, 1964)
70. (62) ONCE UPON A TIME IN THE WEST (Sergio Leone, 1968)
71. (55) CHINATOWN (Roman Polanski, 1974)
72. (68) LA STRADA (Federico Fellini, 1954)
